method,ARI,AMI,Purity,Homogeneity,Completeness,V-Measure,Silhouette-Spatial,Average-Dispersion,Silhouette,Davies-Bouldin,CHAOS,PAS,ASW
Case1,0.4998,0.6664,0.5111,0.5,1.0,0.6667,0.0,0.0,0.0,0.0,7.6999,0.0,0.353
Case2,0.5285,0.6609,0.8257,0.7582,0.587,0.6617,0.0,0.0,0.0,0.0,7.6999,0.004,0.348
Case3,0.5314,0.7022,0.956,0.8788,0.586,0.7031,0.0,0.0,0.0,0.0,7.6999,0.0059,0.2859
Case4,0.3012,0.549,0.8257,0.769,0.4292,0.5509,0.0,0.0,0.0,0.0,7.6999,0.0089,0.3343
Case5,0.5434,0.6906,0.7556,0.6599,0.7254,0.6911,0.0,0.0,0.0,0.0,7.6999,0.001,0.2969
Case6,0.296,0.5919,0.956,0.8911,0.4456,0.5941,0.0,0.0,0.0,0.0,7.6999,0.0104,0.3406
Case7,-0.0018,-0.0043,0.2612,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,7.6999,0.7299,-0.0719
Case8,0.1893,0.3022,0.5081,0.3469,0.2702,0.3038,-0.0689,0.082,0.0,0.0,7.6999,0.0148,-0.0492
Case9,0.8081,0.784,0.9235,0.7843,0.7843,0.7843,-0.0598,0.064,0.0,0.0,7.9625,0.0316,0.3581
Case10,,,,,,,0.7534,0.0,0.7534,0.8197,10.8306,0.0,0.3527
Case10,,,,,,,0.558,0.7928,0.7534,0.8197,11.1999,0.3457,-0.0006
