method,exec_time,peak_memory,ARI,AMI,Purity,Homogeneity,Completeness,V-Measure,Silhouette-Spatial,Average-Dispersion,Silhouette,Davies-Bouldin,CHAOS,PAS,ASW
DeepST,515.6091,5497.3665,0.4983,0.6582,0.6546,0.6705,0.6484,0.6593,0.0843,0.0532,0.1064,3.1246,6.0111,0.0357,0.0259
CCST,2570.8576,1292.7209,0.3983,0.5076,0.6156,0.515,0.5034,0.5091,0.0495,0.0089,0.0575,3.2523,6.0427,0.0088,0.2523
conST,236.8186,716.0281,0.4533,0.6474,0.6815,0.6593,0.6381,0.6485,0.0058,0.0219,0.0264,3.3664,6.0715,0.0448,0.0048
GIST,2138.7105,637.4599,0.6375,0.7377,0.7931,0.7518,0.7259,0.7386,0.0873,0.0131,0.0961,2.7952,6.0013,0.0113,-0.0027
GraphST,512.2179,856.1218,0.6322,0.7263,0.7758,0.7376,0.717,0.7271,0.0759,0.1065,0.1153,3.057,6.0951,0.0179,0.0611
SCAN-IT,3324.3835,1218.1467,0.4055,0.6208,0.6178,0.621,0.623,0.622,0.0499,0.0974,0.085,2.7157,6.0683,0.0165,0.018
SEDR,52.2069,595.9725,0.6185,0.7204,0.7741,0.7131,0.7296,0.7213,0.0282,0.1705,0.0773,2.6056,6.0327,0.0195,0.0189
SpaceFlow,218.9816,160.4647,0.3446,0.5761,0.4707,0.7154,0.4861,0.5789,-0.0901,0.1483,0.0047,3.5563,6.1403,0.0517,-0.0155
SpaGCN,64.9913,903.3177,0.3765,0.5215,0.6004,0.5316,0.5146,0.523,0.0563,0.1852,0.1567,2.7127,6.222,0.0857,0.0599
STAGATE,448.4391,92.1184,0.4923,0.6676,0.748,0.6642,0.6732,0.6687,-0.0052,0.1491,0.0615,2.9064,6.0085,0.033,0.0159
